Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
KCDv1a.chr1,68599800,15400421,7415370,7953686,3553638,7885008,3562936,15404472,7420469,0,0,0,0,0,0,0,0,0,0,0,0,100,3700
KCDv1a.chr5,72720707,19572571,4428990,10277042,2057610,10259773,2063303,19626468,4430450,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
KCDv1a.chr2,82076681,21966700,4951741,11611900,2339258,11689747,2336337,22195166,4981732,0,0,0,0,0,0,0,0,0,0,0,0,300,3800
KCDv1a.chr3,82369889,22266983,4683299,11968295,2185888,11996296,2179564,22415505,4668559,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
KCDv1a.chr4,92717910,24165780,6617991,12506974,3079934,12497699,3086621,24128313,6631398,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
KCDv1a.chr7,69011275,18768581,3696224,10328621,1718985,10285188,1720268,18775826,3713882,0,0,0,0,0,0,0,0,0,0,0,0,100,3600
KCDv1a.chr8,54687232,13004807,5026759,6886982,2408160,6887608,2405028,13067757,4998131,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
KCDv1a.chr9,63219618,16553580,4341524,8797210,2044275,8699646,2051683,16358941,4370459,0,0,0,0,0,0,0,0,0,0,0,0,0,2300
KCDv1a.chr6,69152641,18513240,4187651,9832135,1923094,9931666,1926614,18641540,4194701,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
KCDv1a.chrX,82469676,20696573,6533288,10937177,3094334,10955244,3089230,20660733,6498197,0,0,0,0,0,0,0,0,0,0,0,0,100,4800
KCDv1a.000003l,32801,2350,7350,1291,5428,1293,5096,2687,7306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000068l,3481835,729609,458094,349264,210264,346801,208365,725276,454162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000071l,80937,29160,13,17175,12,12162,0,22408,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000086l,36127,6261,5303,3615,3107,3452,2638,6141,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000091l,38990,2230,9856,1224,5613,1189,5632,2305,10941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000100l,161407,41718,13205,20611,5476,20622,5288,41853,12634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000121l,1313477,395403,33515,211764,15231,216232,15373,392111,33848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000127l,38441,636,8844,752,9902,544,8388,588,8787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000129l,33236,5236,5544,3083,2838,3094,2773,5386,5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000130l,23450,973,6904,439,3194,607,3726,967,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000137l,196127,58787,0,36998,0,32556,0,67786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000168l,24808,8513,0,4120,0,4725,0,7450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000173l,28691,8571,0,5526,0,4745,0,9849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000179l,896563,264757,31358,136973,14311,141425,13519,264424,29796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000194l,27962,636,8681,461,4519,438,4339,653,8235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000199l,1377499,396832,55563,208471,24876,211880,25924,398590,55363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000204l,463908,57381,70227,48257,57182,48594,57155,56750,68362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000208l,35402,2170,8521,1073,5704,1066,6132,1973,8763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000213l,49198,16787,0,8169,0,9437,0,14805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000226l,23363,5182,2361,3023,1054,3022,1122,5312,2287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000234l,35434,5977,5495,3347,2866,3200,2925,5816,5808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000236l,1577440,358311,171113,179642,81298,177618,80233,356677,172548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000237l,539157,152832,25711,78639,11619,78237,12228,154055,25836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000240l,1498375,262773,254473,118546,113529,119405,113380,261510,254759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000242l,123214,42797,2,20417,3,23342,0,36653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000243l,17645,5210,0,3409,0,2926,0,6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000248l,357969,63920,53887,31165,27220,31903,27724,66893,55257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1a.000250l,18403,5246,646,2997,359,3004,338,5124,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
