Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
WHWa.chr1,66721788,14755087,7454725,7537978,3566686,7556536,3575691,14786444,7478641,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
WHWa.chr5,76746485,20824034,4478284,11088114,2080377,10990484,2082502,20696255,4490935,0,0,0,0,0,0,0,0,0,0,0,0,0,15500
WHWa.chr2,77714000,20542199,4857190,10982484,2298921,11071869,2293884,20772522,4880931,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
WHWa.chr3,81072965,22078772,4591386,11813814,2141257,11730648,2144627,21956435,4608526,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
WHWa.chr4,79525754,20701535,5723871,10670482,2661230,10667294,2662271,20699567,5724504,0,0,0,0,0,0,0,0,0,0,0,0,0,15000
WHWa.chr7,65957778,17890794,3592512,9814171,1687044,9768590,1687245,17898143,3613779,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
WHWa.chr8,54704321,13068495,4964904,6957181,2374630,6917220,2371409,13097713,4938769,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
WHWa.chr9,65703653,17306962,4421436,9221627,2084830,9094975,2086933,17020553,4446837,0,0,0,0,0,0,0,0,0,0,0,0,0,19500
WHWa.chr6,76409944,20660859,4526591,10941911,2081418,10915234,2084169,20655885,4527377,0,0,0,0,0,0,0,0,0,0,0,0,0,16500
WHWa.chrX,83408411,20933878,6582430,11092719,3124606,11088776,3116675,20898898,6559929,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
WHWa.11,26746,6652,1297,5192,660,4415,710,6729,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.12,80000,22922,273,15850,81,16234,65,24329,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.13,20061,5193,2070,2276,882,1805,841,4982,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.14,15621,474,4419,200,2650,183,2612,450,4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.15,646500,188741,4766,117684,3195,106625,3476,212617,4896,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
WHWa.16,204500,65039,2,35782,1,35497,7,66669,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
WHWa.17,45500,14075,0,8190,0,7846,0,14889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWa.18,236500,78769,943,38777,502,43269,548,69231,961,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
WHWa.19,77000,25263,10,13065,2,13918,5,23730,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.20,207500,65852,6,36729,5,37805,4,64582,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
WHWa.21,132500,42539,7,22733,2,23512,1,41204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
WHWa.22,18000,6219,0,3021,0,3419,0,5341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.23,169000,57537,4,27020,3,31377,39,51008,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
WHWa.24,16000,5429,0,2324,0,2729,0,5518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.25,334000,107636,60,58070,31,60578,47,102540,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
WHWa.26,23000,7898,0,3745,0,4500,0,6857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.27,55000,16040,0,10390,1,9018,1,18549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.28,319500,99640,5,56861,7,55637,4,102841,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
WHWa.29,82000,26170,0,14356,2,14455,3,26013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.30,26000,7782,8,4976,5,4293,2,8927,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.31,505000,165388,649,85057,177,92575,411,153844,899,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
WHWa.32,336500,101389,4257,56636,2296,55856,2262,104585,4719,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
WHWa.33,28000,8114,2,5124,2,4556,1,9197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.34,325000,102720,11,57789,7,57079,3,103382,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
WHWa.35,27647,8304,0,5291,0,4647,1,9404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.36,33000,9843,7,6177,3,5668,6,11293,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.37,83000,8963,10281,5453,10584,12017,10604,13421,10677,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.38,474500,153651,1414,81570,520,85471,597,147214,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
WHWa.39,53000,16081,0,10030,0,8750,0,18139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.40,53000,15445,1,9755,0,8857,0,17941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.41,175500,52949,251,31978,144,29827,119,57479,253,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
WHWa.42,29500,10127,0,4790,0,5050,0,9033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWa.43,511500,160399,210,88746,7,89563,1971,162306,798,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
WHWa.44,105500,30747,252,19412,189,17408,124,35530,338,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
WHWa.45,102000,32457,9,17393,4,17741,6,32384,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
WHWa.46,30000,8938,0,5636,0,5038,0,10388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.47,81500,25643,4,14645,2,14390,0,26310,6,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWa.48,64500,22013,5,10879,4,12108,3,18978,10,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWa.49,21000,7216,2,3576,0,3986,0,6220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.50,129500,44095,669,21877,26,24201,27,37884,221,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWa.51,65000,20225,2,11587,1,11454,0,20729,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.52,511500,163725,13,88577,8,90641,6,160012,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8500
WHWa.53,40000,13355,178,6821,156,6908,58,12330,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWa.54,59000,18976,12,10132,3,10552,15,18294,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.55,95500,28346,5,17589,4,15856,5,32190,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
WHWa.56,135000,45503,3,27797,6,21008,2,39679,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWa.57,365000,112758,767,65329,510,63963,460,116409,804,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
WHWa.58,20500,5928,0,3802,0,3367,1,6902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWa.59,80500,26660,9,13499,5,14781,4,24031,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
