Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
AH3Mb.chr1,66305698,14855292,7313913,7564294,3483160,7531790,3473682,14777407,7296660,0,0,0,0,0,0,0,0,0,0,0,0,0,9500
AH3Mb.chr5,77981611,21169900,4449023,11351004,2075413,11311337,2076521,21087035,4451878,0,0,0,0,0,0,0,0,0,0,0,0,0,9500
AH3Mb.chr2,76181440,20135832,4797208,10771889,2278410,10818451,2274894,20271642,4822614,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
AH3Mb.chr3,81110007,21977661,4578576,11772912,2132027,11826027,2126234,22122237,4564833,0,0,0,0,0,0,0,0,0,0,0,0,0,9500
AH3Mb.chr4,80916000,21025048,5776230,10919555,2694979,10922590,2687277,21114893,5769428,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
AH3Mb.chr7,66501341,18033287,3694950,9836273,1715660,9854032,1715749,17946371,3690519,0,0,0,0,0,0,0,0,0,0,0,0,0,14500
AH3Mb.chr8,55163014,13186254,5001323,7015022,2391642,6984528,2392245,13202137,4982363,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
AH3Mb.chr9,64967364,17201608,4270176,9137095,2009648,9047046,2016454,16990525,4287312,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
AH3Mb.chr6,76395147,20676224,4506642,10901248,2070589,10944365,2070590,20697103,4516886,0,0,0,0,0,0,0,0,0,0,0,0,0,11500
AH3Mb.chrY,110682302,31450889,4923060,16622937,2341700,16608440,2345992,31461271,4914513,0,0,0,0,0,0,0,0,0,0,0,0,0,13500
AH3Mb.11,20616,6650,838,2919,361,2680,314,6046,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Mb.12,83000,24872,0,15684,0,13408,0,29036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Mb.13,32315,9050,5,5634,1,7174,3,10442,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Mb.14,78500,25054,0,13835,0,14038,0,25072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AH3Mb.15,57500,17100,0,10720,2,9459,0,19718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AH3Mb.16,61500,20504,746,9834,302,11320,199,17530,565,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AH3Mb.17,32500,9614,7,6035,2,5364,3,10968,7,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AH3Mb.18,68500,22903,0,11545,1,12730,0,20821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AH3Mb.19,19000,6585,0,3138,0,3639,0,5638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Mb.20,28500,9172,4,4866,3,5143,1,8807,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500
AH3Mb.21,102000,32379,3,18237,1,17901,0,32478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
