Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SN1v3b.chr1,63484553,14096376,7131015,7143044,3394780,7187463,3389741,14035397,7104737,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
SN1v3b.chr5,76669602,20863004,4295210,11191923,1997395,11155353,2000809,20861506,4302602,0,0,0,0,0,0,0,0,0,0,0,0,100,1700
SN1v3b.chr2,77465128,20589295,4839168,10891411,2289412,10953264,2283988,20763662,4854328,0,0,0,0,0,0,0,0,0,0,0,0,0,600
SN1v3b.chr3,64280361,17301867,3739869,9403857,1742874,9390505,1742563,17205048,3750378,0,0,0,0,0,0,0,0,0,0,0,0,100,3300
SN1v3b.chr4,82472868,21510143,5772546,11206632,2694492,11223015,2692316,21582652,5789972,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
SN1v3b.chr7,72144211,19400956,4097267,10660195,1914859,10657454,1910515,19467889,4033876,0,0,0,0,0,0,0,0,0,0,0,0,0,1200
SN1v3b.chr8,54469932,13122697,4859454,6911644,2337908,6941888,2341707,13070569,4883265,0,0,0,0,0,0,0,0,0,0,0,0,200,600
SN1v3b.chr9,40967716,10053238,3569111,5181604,1665784,5227928,1658987,10063868,3544296,0,0,0,0,0,0,0,0,0,0,0,0,300,2600
SN1v3b.chr6,74779058,20166554,4418116,10679068,2050155,10748527,2053245,20250970,4411423,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
SN1v3b.chrX,83896469,21376637,6208741,11451737,2939686,11420658,2950028,21349537,6196645,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
SN1v3b.000018l,13253794,3952005,363383,2145997,176995,2131914,178785,3940721,363994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000064l,89620,30787,21,15188,4,17174,12,26410,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000071l,44826,4236,9406,2036,6996,1989,6642,3674,9847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000074l,909950,270019,802,172557,377,152034,394,312838,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000076l,163931,41871,12040,23530,5956,22595,5701,39697,12541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000085l,71581,6966,16189,4113,8918,3948,8309,6862,16276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000086l,674442,199960,3,127043,3,115421,0,232004,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000095l,40747,997,11360,638,6894,674,7548,977,11659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000096l,56907,3948,13546,2177,8150,2146,8730,4357,13853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000101l,43772,3590,9960,1921,6422,1973,6306,4186,9414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000102l,37031,2414,8835,1339,6040,1347,5830,2810,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000105l,88685,6058,22131,2930,13889,2937,13897,6102,20741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000106l,45786,13072,2347,7419,960,6985,1192,11152,2659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3b.000109l,48518,3755,10738,2021,7602,2082,7820,4295,10205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
