Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
BOAXb.chr1,64958000,14410181,7219633,7342358,3437691,7369529,3447340,14475958,7243310,0,0,0,0,0,0,0,0,0,0,0,0,0,12000
BOAXb.chr5,75723216,20483486,4433219,10797842,2064748,10884786,2059033,20560507,4431095,0,0,0,0,0,0,0,0,0,0,0,0,0,8500
BOAXb.chr2,77587000,20786172,4829895,11108669,2273791,10982462,2280681,20498073,4813257,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
BOAXb.chr3,79545659,21707973,4416747,11626445,2059986,11614024,2063170,21616031,4430783,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
BOAXb.chr4,79727000,20664945,5779083,10738484,2692816,10734847,2694754,20648360,5762711,0,0,0,0,0,0,0,0,0,0,0,0,0,11000
BOAXb.chr7,64901307,17561752,3569965,9612930,1666707,9606942,1665666,17630635,3579710,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
BOAXb.chr8,54398500,12964334,4999064,6791901,2394920,6848185,2401752,12962495,5029349,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
BOAXb.chr9,65968341,17094864,4381145,9201696,2060103,9364222,2056895,17442600,4360316,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
BOAXb.chr6,75847500,20550849,4513576,10788300,2082790,10758044,2086458,20540604,4518379,0,0,0,0,0,0,0,0,0,0,0,0,0,8500
BOAXb.chrX,82635000,20733953,6477307,10975504,3074708,11000302,3077602,20792582,6500042,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
BOAXb.11,21693,6449,2,4141,0,3629,0,7472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.12,24361,7274,0,4598,0,4081,1,8407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.13,19000,5672,0,3538,0,3195,0,6595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.14,96000,28616,0,18214,1,16054,0,33114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.15,67500,19739,7,12767,6,11310,2,23162,7,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BOAXb.16,60157,20674,0,10101,0,11393,0,17989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.17,87571,30252,0,14844,0,16742,0,25728,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.18,41500,13530,0,7193,0,7573,0,12703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BOAXb.19,72500,21447,11,13366,13,12344,5,24787,27,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BOAXb.20,57000,17181,40,7717,3,13013,172,17734,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
BOAXb.21,58000,20114,0,9740,0,10998,0,17148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.22,148000,44103,0,27446,0,25031,0,50416,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
BOAXb.23,48000,14067,8,9081,4,8056,1,16775,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.24,38500,13091,0,6442,0,7277,0,11190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BOAXb.25,105500,35896,2,17809,1,19881,0,31410,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BOAXb.26,123500,41589,0,21026,0,23081,0,37304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BOAXb.27,16000,4782,0,3040,0,2689,1,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.28,67000,21483,1,11770,3,11830,3,20908,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
BOAXb.29,56543,19570,2,9557,4,10755,2,16648,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.30,25324,7512,0,4898,0,4162,0,8751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.31,60000,17721,0,11360,0,10073,0,20846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.32,20000,5901,0,3784,0,3372,0,6943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXb.33,150000,51440,5,24849,5,27989,2,44699,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
