Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
MBSVb.chr1,65314857,14597634,7234791,7435642,3443514,7446633,3442298,14502352,7210793,0,0,0,0,0,0,0,0,0,0,0,0,100,1100
MBSVb.chr5,83724169,23056963,4499786,12166534,2090260,12262985,2083462,23074817,4488762,0,0,0,0,0,0,0,0,0,0,0,0,0,600
MBSVb.chr2,88434963,24053879,5046651,12840831,2382677,12753599,2385610,23942356,5028460,0,0,0,0,0,0,0,0,0,0,0,0,0,900
MBSVb.chr3,88673821,24058925,4671803,13076219,2184510,13250936,2180476,24588872,4660980,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
MBSVb.chr4,84713185,22247555,5788144,11590646,2701767,11617256,2694796,22283745,5788476,0,0,0,0,0,0,0,0,0,0,0,0,0,800
MBSVb.chr7,64946900,17643170,3607917,9577483,1696021,9587235,1700075,17493602,3640397,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
MBSVb.chr8,57278101,13815529,5060748,7349087,2436595,7309148,2436351,13825578,5044665,0,0,0,0,0,0,0,0,0,0,0,0,0,400
MBSVb.chr9,67635917,17862152,4380259,9588112,2062707,9457584,2066257,17833620,4383926,0,0,0,0,0,0,0,0,0,0,0,0,100,1200
MBSVb.chr6,83201668,22941143,4549364,12098306,2086675,12065786,2088875,22823459,4547660,0,0,0,0,0,0,0,0,0,0,0,0,0,400
MBSVb.chrX,84722638,21400741,6535632,11376913,3093370,11338253,3091954,21368579,6516796,0,0,0,0,0,0,0,0,0,0,0,0,100,300
MBSVb.000067l,7464626,2167250,294806,1120028,140625,1129782,139189,2178843,294103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000071l,331468,26835,77523,15254,45029,15485,45225,27498,78619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000073l,1878344,552576,74950,280513,34586,276028,34274,550242,75175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000076l,92873,1310,21338,1190,20399,1690,24044,1410,21492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000082l,171179,24495,33548,20503,19840,11908,19847,22496,18542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000084l,188574,2893,43706,3461,48721,2438,41360,2683,43312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000086l,22765,262,5241,238,5159,338,6101,282,5144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000090l,241661,6914,53358,6655,51193,4810,59789,5172,53770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000091l,29943,524,6834,476,6415,676,7508,564,6946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000092l,62024,2015,13312,2334,15017,1509,12559,2109,13169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000093l,137253,2206,31245,2038,29815,2805,35195,2401,31548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000094l,86333,7691,20130,4370,11748,4421,11427,7757,18789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000095l,163603,2357,37545,2142,35862,3042,42244,2539,37872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000096c,348721,102317,4,66880,2,59167,4,120335,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000097l,88743,4732,18062,3952,19922,2821,16784,4699,17771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000099l,23642,291,5381,350,6315,243,5342,268,5452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000103c,415762,48655,63445,41416,53375,41348,53374,49047,65102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000104l,103437,1551,23836,1859,26902,1309,22793,1441,23746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000106l,155447,2228,35666,2022,34105,2873,40175,2397,35981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000107l,95394,1551,22162,1859,24421,1309,20800,1441,21851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000108l,99262,1692,22798,1982,25514,1435,21642,1557,22642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000109l,62882,4168,12089,2024,11582,2598,13621,4627,12173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000110l,38574,524,8837,476,8550,676,10079,564,8868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000111l,71913,1013,16468,915,15834,1298,18691,1089,16605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000114l,130978,1974,30199,2366,34028,1666,28843,1834,30068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000115l,298156,88740,21,55762,2,50212,75,103296,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000116l,29986,524,6863,476,6429,676,7491,564,6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000118l,100009,30040,2873,16503,1188,14802,1087,30236,3280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000119l,24652,423,5734,507,6270,357,5344,393,5624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000120l,45993,655,10564,595,10096,845,11914,705,10619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000121l,97795,1522,22508,1832,25295,1288,21483,1415,22452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000122l,91648,1411,21229,1689,23686,1190,20103,1310,21030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000123l,71005,1571,15993,1596,18000,1202,15261,1404,15978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000124l,19923,282,4549,338,5241,238,4424,262,4589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000125l,194524,3088,44312,2855,42282,3924,49918,3363,44782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000126l,69306,1020,15908,930,15208,1328,17884,1097,15931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000127l,35305,524,8073,476,7750,676,9098,564,8144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000128l,77270,1129,17858,1352,20132,952,17064,1047,17736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000129l,46567,6643,9159,5568,5401,3238,5403,6107,5048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000130l,35551,564,8222,676,9159,476,7774,524,8156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000131l,152400,11729,34858,6730,22126,6722,23319,13260,33656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000132l,57839,846,13407,1014,15027,714,12758,786,13287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000133l,30781,533,7086,651,7826,455,6686,496,7048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000134l,39825,524,9160,476,8856,676,10483,564,9086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000135l,33786,524,7729,476,7346,676,8568,564,7903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000136l,41956,674,9535,821,10908,574,9255,627,9562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000137l,36435,565,8412,676,9418,476,8003,524,8361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000138l,28736,9139,338,5218,125,5113,152,8373,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000139l,108709,33332,1620,18890,1144,17230,852,34045,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000140l,37204,1641,10256,886,5426,1075,5756,1614,10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000141l,28951,393,6649,357,6417,507,7550,423,6655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000142l,33683,454,7791,532,8889,378,7490,421,7728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000143l,21951,9407,0,9408,0,2,0,3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000144l,82581,1269,19118,1521,21351,1071,18115,1179,18957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000145l,45078,14090,1817,6077,757,6102,693,13655,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000146l,33999,524,7773,476,7395,676,8687,564,7904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000147l,24350,7700,346,3544,228,3970,201,8027,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000148l,25671,393,5861,357,5640,507,6607,423,5883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000149l,62299,918,14301,833,13669,1183,16086,987,14322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000150l,34453,564,7880,676,8872,476,7560,524,7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000151l,69710,923,16027,838,15442,1195,18228,996,16061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000152l,56768,846,13041,1013,14802,714,12537,786,13029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000153l,124251,1973,28867,2364,31902,1666,27132,1833,28514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000154l,21590,262,4986,238,4820,338,5735,282,4929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000155l,52824,786,12124,714,11511,1014,13529,846,12300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000156l,28779,533,6632,651,7238,455,6201,496,6573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000157l,25080,322,5855,377,6587,267,5567,297,5808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000158l,81443,1048,18703,952,18091,1352,21391,1128,18778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000159l,48120,710,11122,639,10463,888,12262,760,11276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000160l,88138,1310,20233,1190,19203,1690,22579,1410,20523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000161l,58748,915,13443,831,12738,1172,14971,980,13698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000162l,34510,524,7904,476,7523,676,8869,564,7974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000163l,160108,2670,36964,3047,41281,2215,34973,2419,36539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000164l,29961,508,6863,614,7690,432,6557,474,6823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000165l,37937,9973,5,4495,8,9048,3,14393,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000166l,31495,1568,8820,1052,4636,854,4392,1603,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000167l,32881,524,7523,476,7092,676,8311,564,7715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000168l,20681,262,4763,238,4602,338,5425,282,4771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000169l,37682,524,8617,476,8267,676,9754,564,8804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000170l,30422,533,7072,651,7640,455,6562,496,7013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000171l,22314,392,5100,482,5667,336,4845,365,5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVb.000173l,33794,526,7658,640,8846,446,7485,488,7705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
