"qseqid","qlen","sseqid","slen","qstart","qend","sstart","send","evalue","bitscore","score","length","pident","nident","mismatch","positive","gapopen","gaps","ppos","sstrand"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,13455428,52948405,0,3016,1633,1636,99.939,1635,1,1635,0,0,99.94,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,13367548,53036285,0,3011,1630,1636,99.878,1634,2,1634,0,0,99.88,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,13306820,53097013,0,3011,1630,1636,99.878,1634,2,1634,0,0,99.88,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,13194936,53208897,0,3011,1630,1636,99.878,1634,2,1634,0,0,99.88,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,13258971,53144861,0,3000,1624,1637,99.756,1633,3,1633,1,1,99.76,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,13074968,53328865,0,2988,1618,1636,99.633,1630,6,1630,0,0,99.63,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,13018392,53385441,0,2983,1615,1636,99.572,1629,7,1629,0,0,99.57,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,11762402,54641431,0,2656,1438,1636,95.966,1570,66,1570,0,0,95.97,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,13,1639,11189244,55217841,0,2320,1256,1628,92.506,1506,111,1506,4,11,92.51,"plus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,30861926,35545177,0,2290,1240,1636,91.932,1504,132,1504,0,0,91.93,"plus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,12500451,53903382,0,2290,1240,1636,91.932,1504,132,1504,0,0,91.93,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,12469839,53933994,0,2268,1228,1636,91.687,1500,136,1500,0,0,91.69,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,12408744,53995089,0,2268,1228,1636,91.687,1500,136,1500,0,0,91.69,"minus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,30961929,35445174,0,2263,1225,1636,91.626,1499,137,1499,0,0,91.63,"plus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,30892941,35514162,0,2263,1225,1636,91.626,1499,137,1499,0,0,91.63,"plus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,30779390,35627712,0,2228,1206,1636,91.259,1493,142,1493,1,1,91.26,"plus"
"LY658671.1",1639,"AH3Ma.chr7",66405468,4,1639,12582983,53820851,0,2228,1206,1636,91.259,1493,142,1493,1,1,91.26,"minus"
"AB292682.1",1635,"AH3Ma.chr7",66405468,1,1635,11463541,54943560,0,2542,1376,1639,94.753,1553,77,1553,4,9,94.75,"plus"
"AB292682.1",1635,"AH3Ma.chr7",66405468,1,1635,11556788,54850311,0,2451,1327,1638,93.773,1536,93,1536,4,9,93.77,"plus"
"AB292682.1",1635,"AH3Ma.chr7",66405468,1,1635,30861925,35545180,0,2135,1156,1638,90.232,1478,157,1478,2,3,90.23,"plus"
"AB292682.1",1635,"AH3Ma.chr7",66405468,1,1635,12500452,53903379,0,2135,1156,1638,90.232,1478,157,1478,2,3,90.23,"minus"
"AB292682.1",1635,"AH3Ma.chr7",66405468,1,1635,12469840,53933991,0,2130,1153,1638,90.171,1477,158,1477,2,3,90.17,"minus"
"AB292682.1",1635,"AH3Ma.chr7",66405468,1,1635,30892940,35514165,0,2124,1150,1638,90.11,1476,159,1476,2,3,90.11,"plus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,30861925,35545180,0,2987,1617,1638,99.573,1631,7,1631,0,0,99.57,"plus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,12500452,53903379,0,2987,1617,1638,99.573,1631,7,1631,0,0,99.57,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,30892940,35514165,0,2964,1605,1638,99.328,1627,11,1627,0,0,99.33,"plus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,12469840,53933991,0,2964,1605,1638,99.328,1627,11,1627,0,0,99.33,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,12408745,53995086,0,2953,1599,1638,99.206,1625,13,1625,0,0,99.21,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,30961928,35445177,0,2948,1596,1638,99.145,1624,14,1624,0,0,99.15,"plus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,30779389,35627715,0,2935,1589,1638,99.023,1622,15,1622,1,1,99.02,"plus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,12582984,53820848,0,2935,1589,1638,99.023,1622,15,1622,1,1,99.02,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,11762403,54641428,0,2350,1272,1638,92.552,1516,122,1516,0,0,92.55,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,13455429,52948402,0,2305,1248,1638,92.063,1508,130,1508,0,0,92.06,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,13367549,53036282,0,2300,1245,1638,92.002,1507,131,1507,0,0,92,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,13306821,53097010,0,2300,1245,1638,92.002,1507,131,1507,0,0,92,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,13194937,53208894,0,2300,1245,1638,92.002,1507,131,1507,0,0,92,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,13258972,53144858,0,2289,1239,1639,91.885,1506,132,1506,1,1,91.89,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,13074969,53328862,0,2278,1233,1638,91.758,1503,135,1503,0,0,91.76,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,1,1638,13018393,53385438,0,2272,1230,1638,91.697,1502,136,1502,0,0,91.7,"minus"
"AB292683.1",1638,"AH3Ma.chr7",66405468,9,1638,11189244,55217844,0,2148,1163,1630,90.552,1476,145,1476,2,9,90.55,"plus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,30892940,35514165,0,2953,1599,1638,99.206,1625,13,1625,0,0,99.21,"plus"
"AB292684.1",1638,"AH3Ma.chr7",66405468,1,1638,30861925,35545180,0,2953,1599,1638,99.206,1625,13,1625,0,0,99.21,"plus"
