Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
COSVb.chr1,66099304,14802893,7299963,7527771,3475174,7550368,3473507,14693409,7275319,0,0,0,0,0,0,0,0,0,0,0,0,0,900
COSVb.chr5,84559925,23279330,4495028,12329732,2087764,12405165,2081562,23395602,4484842,0,0,0,0,0,0,0,0,0,0,0,0,0,900
COSVb.chr2,81460940,22033795,4868396,11664712,2300176,11610498,2298987,21834361,4849615,0,0,0,0,0,0,0,0,0,0,0,0,0,400
COSVb.chr3,87352461,23971779,4679734,12880450,2186337,12849886,2193986,23893067,4696322,0,0,0,0,0,0,0,0,0,0,0,0,100,800
COSVb.chr4,84042049,22023813,5790354,11472121,2702812,11493123,2695677,22072456,5791293,0,0,0,0,0,0,0,0,0,0,0,0,0,400
COSVb.chr7,65025704,17634491,3634063,9570418,1714783,9576865,1716720,17508705,3668459,0,0,0,0,0,0,0,0,0,0,0,0,0,1200
COSVb.chr8,57529209,13922225,5040761,7400259,2421514,7371856,2419458,13927975,5024761,0,0,0,0,0,0,0,0,0,0,0,0,0,400
COSVb.chr9,67801429,17896585,4397236,9603014,2070864,9476001,2074624,17873756,4408549,0,0,0,0,0,0,0,0,0,0,0,0,0,800
COSVb.chr6,83040660,22897487,4538906,12072675,2083824,12045351,2085305,22780112,4536600,0,0,0,0,0,0,0,0,0,0,0,0,0,400
COSVb.chrX,85833029,21702058,6577105,11536045,3116273,11538835,3113883,21689371,6559059,0,0,0,0,0,0,0,0,0,0,0,0,0,400
COSVb.000050l,60018,4627,11537,2599,12733,2024,10866,4168,11464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000051l,1680951,492079,61363,255816,28123,255467,28343,499089,60671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000053l,74547,1149,17105,1050,16220,1486,19065,1240,17232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000057l,55220,786,12684,714,12113,1014,14273,847,12789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000059l,33966,1592,6894,1827,7690,1152,6359,1716,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000061l,30388,423,6893,508,8041,357,6788,393,6985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000068l,91458,1410,21177,1690,23635,1190,20061,1310,20985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000071l,39573,552,9065,497,8660,698,10242,595,9264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000073l,56126,786,12856,714,12309,1014,14520,846,13081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000074l,65478,917,15031,833,14358,1181,16928,984,15246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000076l,33237,524,7629,476,7226,676,8511,564,7631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000079c,415763,49000,65149,41319,53404,41375,53416,48601,63499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000083l,37256,630,8589,760,9543,533,8121,589,8491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000084l,25819,393,5919,357,5613,507,6568,423,6039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVb.000085l,60067,1955,13006,2297,14393,1487,12058,2073,12798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
