Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
UFBb.chr1,71714477,16189958,7577974,8404176,3616052,8425229,3617741,16279748,7601299,0,0,0,0,0,0,0,0,0,0,0,0,100,2200
UFBb.chr5,79104990,21639075,4432412,11500614,2062682,11407843,2067783,21554796,4438385,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
UFBb.chr2,78595971,21168643,4821896,11155354,2271693,11111487,2273147,20988077,4804274,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
UFBb.chr3,84393049,23024811,4683839,12338855,2190203,12313301,2198991,22941435,4700314,0,0,0,0,0,0,0,0,0,0,0,0,0,1300
UFBb.chr4,84423377,22140406,5788338,11539328,2702182,11559187,2696733,22199401,5796102,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
UFBb.chr7,65161335,17568584,3628298,9623362,1716048,9636515,1712050,17599178,3675400,0,0,0,0,0,0,0,0,0,0,0,0,200,1700
UFBb.chr8,55761717,13389519,4993456,7102100,2397663,7083989,2393270,13422661,4977259,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
UFBb.chr9,66947549,17518951,4410027,9345374,2072350,9373425,2064296,17781806,4379920,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
UFBb.chr6,80171699,21949395,4553421,11554927,2089673,11522484,2090517,21854876,4555006,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
UFBb.chrX,83252436,20936101,6557991,11077455,3106414,11055242,3102534,20878241,6536958,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
UFBb.000016l,381821,6280,86756,5845,82814,7996,97654,6735,87741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000024l,114057,39672,1,18869,2,21719,3,33789,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000033l,941378,280471,4,178194,8,157289,15,325377,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000048l,193939,66062,523,36396,513,34729,774,54265,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000054l,535235,185244,396,90147,185,100659,160,158034,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000060l,167235,49118,467,39271,253,36599,306,40454,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000079l,76759,7053,17211,4189,10558,4018,9454,6955,17321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000088l,102548,5747,26292,3206,16297,3109,15835,6296,25766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000094l,50548,17680,0,8443,0,9302,0,15123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBb.000096l,148216,44410,0,27906,0,24782,0,51117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
