Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
TWFBb.chr1,67138108,15081672,7370771,7628658,3520785,7653162,3512093,15019913,7348054,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
TWFBb.chr5,78117850,21379735,4359830,11371501,2030961,11282927,2035283,21293103,4362410,0,0,0,0,0,0,0,0,0,0,0,0,200,1900
TWFBb.chr2,78452931,21121555,4821681,11108060,2271492,11079341,2273062,20971509,4804131,0,0,0,0,0,0,0,0,0,0,0,0,200,1900
TWFBb.chr3,83867672,22743742,4704222,12229381,2189643,12274443,2183563,22854287,4686191,0,0,0,0,0,0,0,0,0,0,0,0,100,2100
TWFBb.chr4,83195610,21740105,5788259,11324764,2701565,11336746,2696848,21808367,5796356,0,0,0,0,0,0,0,0,0,0,0,0,200,2400
TWFBb.chr7,65727398,17737356,3644685,9721291,1722404,9711940,1713786,17791342,3682394,0,0,0,0,0,0,0,0,0,0,0,0,0,2200
TWFBb.chr8,55566867,13331600,4990656,7067667,2396084,7054617,2391766,13358247,4974830,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
TWFBb.chr9,66393622,17166123,4576624,9146027,2201963,9210699,2190795,17358523,4541368,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
TWFBb.chr6,79561746,21793306,4492746,11534657,2064153,11492192,2067656,21618322,4496614,0,0,0,0,0,0,0,0,0,0,0,0,100,2000
TWFBb.chrX,83762535,21100780,6551339,11177549,3102966,11148486,3099898,21048508,6530809,0,0,0,0,0,0,0,0,0,0,0,0,100,2100
TWFBb.000003l,169477,50592,16,32110,7,29051,9,57665,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000007l,163103,56253,0,27202,0,31192,0,48455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000029l,185653,64501,2,31220,0,34557,0,55373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000033l,66557,1029,15190,945,14526,1316,17137,1120,15294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000040l,547420,153743,31694,77385,14363,76232,13748,151202,29053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000041l,102109,9674,22356,5422,12913,5386,13261,9938,23159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000117l,65471,5710,15424,2659,9784,2655,9233,5089,14917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000120l,209967,62382,0,39879,0,35442,0,72264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000125l,109798,2006,25317,2261,26849,1863,24381,1905,25216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000135l,60046,7631,11634,4319,6498,4096,6020,7529,12319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000142l,146285,43079,0,27588,0,25032,0,50586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000143l,283409,84722,3,53531,1,47667,2,97477,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000144l,103870,30889,0,19386,0,17494,3,36097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000147l,118713,10088,27198,5725,16519,5592,16211,10546,26834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000151l,73164,4379,18279,2474,11570,2517,11720,4935,17290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000154l,54532,998,12477,1173,13926,881,11795,933,12349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000155l,137159,3598,29942,2946,28573,4195,33948,3600,30357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000156l,70966,1218,16216,1443,18358,1078,15460,1140,16053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000172l,548278,190676,84,91886,17,102496,12,163026,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000180l,188846,3411,43089,4031,48418,2983,40995,3179,42740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000182l,108343,37405,0,17821,0,20332,0,32785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000187l,307056,91935,0,58641,0,51351,0,105129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000188l,111540,8692,26156,5020,15809,4816,14810,8701,27536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBb.000189l,162496,48055,0,30793,0,27380,0,56268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
